DT,PRD_DE,C1_NM,LST_CHN_DE,standardized_DT,normalized_DT
135.5,2015-02-01,강원특별자치도,2015-03-17,1.8548219095251604,73.46153846153845
132.4,2015-03-01,강원특별자치도,2015-04-16,1.6405637283603771,71.07692307692308
136.6,2015-04-01,강원특별자치도,2015-05-14,1.9308490060675028,74.30769230769229
131.3,2015-05-01,강원특별자치도,2015-06-15,1.5645366318180347,70.23076923076924
127.1,2015-06-01,강원특별자치도,2015-07-15,1.274251354110907,67.0
133.4,2015-07-01,강원특별자치도,2015-08-17,1.7096792706715975,71.84615384615385
136.1,2015-08-01,강원특별자치도,2015-09-16,1.8962912349118923,73.92307692307692
133.4,2015-09-01,강원특별자치도,2015-10-15,1.7096792706715975,71.84615384615385
139.7,2015-10-01,강원특별자치도,2015-11-17,2.145107187232286,76.69230769230768
130.3,2015-11-01,강원특별자치도,2015-12-15,1.4954210895068143,69.46153846153848
122.9,2015-12-01,강원특별자치도,2016-01-15,0.9839660764037815,63.76923076923078
127.6,2016-01-01,강원특별자치도,2016-02-19,1.3088091252665175,67.38461538461537
125.8,2016-02-01,강원특별자치도,2016-03-16,1.1844011491063207,65.99999999999999
127.0,2016-03-01,강원특별자치도,2016-04-15,1.2673397998797855,66.92307692307692
128.2,2016-04-01,강원특별자치도,2016-05-16,1.3502784506532495,67.84615384615384
128.4,2016-05-01,강원특별자치도,2016-06-16,1.3641015591154948,68.0
127.0,2016-06-01,강원특별자치도,2016-07-15,1.2673397998797855,66.92307692307692
135.3,2016-07-01,강원특별자치도,2016-08-16,1.840998801062917,73.30769230769232
134.1,2016-08-01,강원특별자치도,2016-09-20,1.7580601502894513,72.38461538461539
128.3,2016-09-01,강원특별자치도,2016-10-18,1.357190004884373,67.92307692307693
131.4,2016-10-01,강원특별자치도,2016-11-17,1.5714481860491565,70.30769230769232
124.4,2016-11-01,강원특별자치도,2016-12-19,1.0876393898706125,64.92307692307693
115.5,2016-12-01,강원특별자치도,2017-01-17,0.47251106330074877,58.07692307692307
125.7,2017-01-01,강원특별자치도,2017-02-27,1.1774895948751989,65.92307692307693
127.9,2017-02-01,강원특별자치도,2017-03-21,1.3295437879598844,67.61538461538463
118.5,2017-03-01,강원특별자치도,2017-04-18,0.6798576902344106,60.38461538461538
118.5,2017-04-01,강원특별자치도,2017-05-17,0.6798576902344106,60.38461538461538
117.0,2017-05-01,강원특별자치도,2017-06-19,0.5761843767675796,59.23076923076923
114.8,2017-06-01,강원특별자치도,2017-07-18,0.4241301836828942,57.53846153846154
121.1,2017-07-01,강원특별자치도,2017-08-16,0.8595581002435837,62.38461538461538
120.3,2017-08-01,강원특별자치도,2017-09-18,0.8042656663946074,61.76923076923077
114.6,2017-09-01,강원특별자치도,2017-10-17,0.41030707522064985,57.38461538461538
111.0,2017-10-01,강원특별자치도,2017-11-16,0.16149112290025616,54.61538461538461
105.5,2017-11-01,강원특별자치도,2017-12-15,-0.21864435981145705,50.38461538461539
105.1,2017-12-01,강원특별자치도,2018-01-16,-0.24629057673594568,50.07692307692307
110.5,2018-01-01,강원특별자치도,2018-02-20,0.12693335174464587,54.23076923076924
111.4,2018-02-01,강원특별자치도,2018-03-19,0.1891373398247448,54.92307692307693
103.7,2018-03-01,강원특별자치도,2018-04-16,-0.3430523359716539,49.0
94.6,2018-04-01,강원특별자치도,2018-05-16,-0.9720037710037618,42.0
88.7,2018-05-01,강원특별자치도,2018-06-15,-1.3797854706399626,37.46153846153846
87.9,2018-06-01,강원특별자치도,2018-07-16,-1.435077904488939,36.846153846153854
85.9,2018-07-01,강원특별자치도,2018-08-16,-1.57330898911138,35.307692307692314
89.0,2018-08-01,강원특별자치도,2018-09-17,-1.3590508079465966,37.69230769230769
95.6,2018-09-01,강원특별자치도,2018-10-16,-0.9028882286925413,42.76923076923077
88.3,2018-10-01,강원특별자치도,2018-11-15,-1.4074316875644513,37.153846153846146
83.1,2018-11-01,강원특별자치도,2018-12-20,-1.7668325075827984,33.15384615384615
80.4,2018-12-01,강원특별자치도,2019-01-16,-1.9534444718230932,31.07692307692308
79.2,2019-01-01,강원특별자치도,2019-02-18,-2.036383122596558,30.15384615384616
81.0,2019-02-01,강원특별자치도,2019-03-19,-1.9119751464363612,31.538461538461537
84.5,2019-03-01,강원특별자치도,2019-04-16,-1.6700707483470894,34.23076923076923
79.0,2019-04-01,강원특별자치도,2019-05-17,-2.0502062310588025,30.0
81.7,2019-05-01,강원특별자치도,2019-07-16,-1.8635942668185068,32.07692307692308
79.5,2019-06-01,강원특별자치도,2019-07-16,-2.015648459903192,30.384615384615387
85.1,2019-07-01,강원특별자치도,2019-08-16,-1.6286014229603574,34.692307692307686
84.5,2019-08-01,강원특별자치도,2019-09-19,-1.6700707483470894,34.23076923076923
89.8,2019-09-01,강원특별자치도,2019-10-16,-1.3037583740976204,38.30769230769231
86.1,2019-10-01,강원특별자치도,2019-11-19,-1.5594858806491367,35.46153846153845
87.3,2019-11-01,강원특별자치도,2019-12-17,-1.4765472298756719,36.38461538461538
91.1,2019-12-01,강원특별자치도,2020-01-20,-1.2139081690930338,39.30769230769231
100.5,2020-01-01,강원특별자치도,2020-02-18,-0.56422207136756,46.53846153846154
107.8,2020-02-01,강원특별자치도,2020-03-16,-0.0596786124956499,52.15384615384615
101.5,2020-03-01,강원특별자치도,2020-04-20,-0.4951065290563394,47.307692307692314
100.5,2020-04-01,강원특별자치도,2020-05-20,-0.56422207136756,46.53846153846154
106.7,2020-05-01,강원특별자치도,2020-06-22,-0.13570570903799214,51.30769230769231
110.0,2020-06-01,강원특별자치도,2020-07-15,0.09237558058903558,53.84615384615385
111.6,2020-07-01,강원특별자치도,2020-08-14,0.20296044828698812,55.076923076923066
111.2,2020-08-01,강원특별자치도,2020-09-15,0.1753142313625005,54.76923076923078
117.7,2020-09-01,강원특별자치도,2020-10-19,0.6245652563854343,59.769230769230774
123.8,2020-10-01,강원특별자치도,2020-11-19,1.0461700644838794,64.46153846153845
126.7,2020-11-01,강원특별자치도,2020-12-18,1.2466051371864195,66.6923076923077
126.9,2020-12-01,강원특별자치도,2021-01-15,1.2604282456486637,66.84615384615384
133.1,2021-01-01,강원특별자치도,2021-02-16,1.6889446079782306,71.61538461538461
125.7,2021-02-01,강원특별자치도,2021-03-16,1.1774895948751989,65.92307692307693
129.7,2021-03-01,강원특별자치도,2021-04-16,1.4539517641200803,69.0
124.3,2021-04-01,강원특별자치도,2021-05-14,1.0807278356394898,64.84615384615384
125.1,2021-05-01,강원특별자치도,2021-07-01,1.136020269488466,65.46153846153845
131.5,2021-06-01,강원특별자치도,2021-07-21,1.578359740280278,70.38461538461537
131.9,2021-07-01,강원특별자치도,2021-08-13,1.6060059572047667,70.6923076923077
131.9,2021-08-01,강원특별자치도,2021-09-16,1.6060059572047667,70.6923076923077
135.1,2021-09-01,강원특별자치도,2021-10-18,1.827175692600672,73.15384615384616
128.9,2021-10-01,강원특별자치도,2021-11-18,1.398659330271105,68.38461538461539
122.3,2021-11-01,강원특별자치도,2021-12-24,0.9424967510170486,63.30769230769231
113.3,2021-12-01,강원특별자치도,2022-01-24,0.3204568702160633,56.38461538461538
111.9,2022-01-01,강원특별자치도,2022-02-17,0.22369511098035508,55.307692307692314
109.3,2022-02-01,강원특별자치도,2022-03-25,0.043994700971180974,53.307692307692314
106.0,2022-03-01,강원특별자치도,2022-04-15,-0.18408658865584676,50.76923076923078
108.3,2022-04-01,강원특별자치도,2022-06-16,-0.02512084134003961,52.53846153846153
113.2,2022-05-01,강원특별자치도,2022-06-16,0.3135453159849416,56.307692307692314
106.9,2022-06-01,강원특별자치도,2022-07-20,-0.12188260057574783,51.46153846153847
101.2,2022-07-01,강원특별자치도,2022-08-17,-0.5158411917497053,47.07692307692308
94.5,2022-08-01,강원특별자치도,2022-09-19,-0.9789153252348834,41.92307692307693
90.8,2022-09-01,강원특별자치도,2022-10-19,-1.2346428317863998,39.07692307692307
83.6,2022-10-01,강원특별자치도,2022-11-18,-1.7322747364271882,33.53846153846154
83.6,2022-11-01,강원특별자치도,2022-12-15,-1.7322747364271882,33.53846153846154
79.5,2022-12-01,강원특별자치도,2023-01-20,-2.015648459903192,30.384615384615387
90.3,2023-01-01,강원특별자치도,2023-02-16,-1.2692006029420102,38.692307692307686
94.9,2023-02-01,강원특별자치도,2023-03-21,-0.9512691083103948,42.23076923076924
100.8,2023-03-01,강원특별자치도,2023-04-21,-0.543487408674194,46.76923076923077
100.2,2023-04-01,강원특별자치도,2023-05-19,-0.584956734060926,46.307692307692314
103.6,2023-05-01,강원특별자치도,2023-06-23,-0.3499638902027766,48.92307692307693
105.6,2023-06-01,강원특별자치도,2023-07-18,-0.2117328055803354,50.46153846153846
110.2,2023-07-01,강원특별자치도,2023-08-17,0.1061986890512799,54.0
113.9,2023-08-01,강원특별자치도,2023-10-10,0.36192619560279626,56.846153846153854
115.1,2023-09-01,강원특별자치도,2023-10-24,0.44486484637626017,57.769230769230774
107.3,2023-10-01,강원특별자치도,2023-11-20,-0.09423638365126019,51.76923076923077
103.0,2023-11-01,강원특별자치도,2023-12-26,-0.3914332155895085,48.46153846153847
103.7,2023-12-01,강원특별자치도,2024-01-15,-0.3430523359716539,49.0
106.2,2024-01-01,강원특별자치도,2024-02-16,-0.17026348019360243,50.92307692307693
106.8,2024-02-01,강원특별자치도,2024-03-19,-0.12879415480687048,51.38461538461539
119.8,2014-03-01,충청북도,2014-06-11,0.7697078952389971,61.38461538461538
121.9,2014-04-01,충청북도,2014-06-11,0.9148505340925609,63.0
116.5,2014-05-01,충청북도,2014-06-11,0.5416266056119694,58.84615384615385
109.3,2014-06-01,충청북도,2014-07-14,0.043994700971180974,53.307692307692314
116.1,2014-07-01,충청북도,2014-08-14,0.5139803886874807,58.538461538461526
120.1,2014-08-01,충청북도,2014-09-16,0.7904425579323631,61.61538461538461
122.5,2014-09-01,충청북도,2014-10-16,0.9563198594792929,63.46153846153846
122.3,2014-10-01,충청북도,2014-11-24,0.9424967510170486,63.30769230769231
119.9,2014-11-01,충청북도,2014-12-18,0.7766194494701197,61.46153846153847
106.1,2014-12-01,충청북도,2015-01-09,-0.1771750344247251,50.84615384615384
116.3,2015-01-01,충청북도,2015-02-24,0.5278034971497251,58.6923076923077
119.2,2015-02-01,충청북도,2015-03-17,0.7282385698522651,60.92307692307693
118.6,2015-03-01,충청북도,2015-04-16,0.6867692444655322,60.46153846153845
118.8,2015-04-01,충청북도,2015-05-14,0.7005923529277766,60.61538461538461
114.8,2015-05-01,충청북도,2015-06-15,0.4241301836828942,57.53846153846154
106.8,2015-06-01,충청북도,2015-07-15,-0.12879415480687048,51.38461538461539
112.7,2015-07-01,충청북도,2015-08-17,0.27898754482933136,55.923076923076934
114.4,2015-08-01,충청북도,2015-09-16,0.3964839667584065,57.23076923076924
111.6,2015-09-01,충청북도,2015-10-15,0.20296044828698812,55.076923076923066
113.5,2015-10-01,충청북도,2015-11-17,0.3342799786783076,56.53846153846154
109.1,2015-11-01,충청북도,2015-12-15,0.030171592508936664,53.15384615384614
102.3,2015-12-01,충청북도,2016-01-15,-0.4398140952073631,47.92307692307693
106.0,2016-01-01,충청북도,2016-02-19,-0.18408658865584676,50.76923076923078
107.8,2016-02-01,충청북도,2016-03-16,-0.0596786124956499,52.15384615384615
107.3,2016-03-01,충청북도,2016-04-15,-0.09423638365126019,51.76923076923077
105.1,2016-04-01,충청북도,2016-05-16,-0.24629057673594568,50.07692307692307
106.7,2016-05-01,충청북도,2016-06-16,-0.13570570903799214,51.30769230769231
107.3,2016-06-01,충청북도,2016-07-15,-0.09423638365126019,51.76923076923077
109.1,2016-07-01,충청북도,2016-08-16,0.030171592508936664,53.15384615384614
