url,http://datalab.naver.com/keyword/trendResult.naver?hashKey=N_5a84cb395e770a1d49ce9dcbb6ad2420
주제,통검
범위,합계
기간,일간 : 2016-05-18 ~ 2024-05-18
성별,"전체(여성,남성)"
연령대,전체
날짜,부동산
2018-10-13,35.5185
2018-10-14,35.40787
2018-10-15,43.52345
2018-10-16,42.71395
2018-10-17,39.36334
2018-10-18,39.28658
2018-10-19,36.09471
2018-10-20,33.37441
2018-10-21,34.45688
2018-10-22,40.89795
2018-10-23,39.92732
2018-10-24,40.59753
2018-10-25,37.90509
2018-10-26,35.12488
2018-10-27,31.69891
2018-10-28,33.39887
2018-10-29,38.69515
2018-10-30,38.44703
2018-10-31,35.64035
2018-11-01,36.20914
2018-11-02,35.77544
2018-11-03,32.09714
2018-11-04,31.98471
2018-11-05,39.98384
2018-11-06,37.78264
2018-11-07,36.32419
2018-11-08,37.10422
2018-11-09,33.21889
2018-11-10,32.77035
2018-11-11,32.76374
2018-11-12,38.63322
2018-11-13,38.02815
2018-11-14,34.85712
2018-11-15,40.13095
2018-11-16,37.4295
2018-11-17,29.99454
2018-11-18,30.58338
2018-11-19,37.2393
2018-11-20,36.91322
2018-11-21,35.31307
2018-11-22,33.90613
2018-11-23,29.46143
2018-11-24,26.76719
2018-11-25,29.74703
2018-11-26,34.91684
2018-11-27,35.2794
2018-11-28,34.48814
2018-11-29,32.71163
2018-11-30,32.27812
2018-12-01,29.5907
2018-12-02,32.26509
2018-12-03,36.45025
2018-12-04,35.67964
2018-12-05,33.37121
2018-12-06,33.07679
2018-12-07,29.92259
2018-12-08,28.51345
2018-12-09,30.38316
2018-12-10,33.43113
2018-12-11,34.46971
2018-12-12,31.82377
2018-12-13,31.92438
2018-12-14,29.32454
2018-12-15,28.04386
2018-12-16,29.53859
2018-12-17,34.60539
2018-12-18,32.87798
2018-12-19,35.88086
2018-12-20,32.25287
2018-12-21,30.37795
2018-12-22,27.52578
2018-12-23,28.0613
2018-12-24,29.24979
2018-12-25,30.26591
2018-12-26,35.81773
2018-12-27,33.11407
2018-12-28,31.00506
2018-12-29,29.80054
2018-12-30,30.85234
2018-12-31,28.96198
2019-01-01,29.77649
2019-01-02,37.48161
2019-01-03,37.66579
2019-01-04,36.31296
2019-01-05,34.24223
2019-01-06,36.0927
2019-01-07,41.74833
2019-01-08,38.92984
2019-01-09,36.43442
2019-01-10,36.36808
2019-01-11,34.10374
2019-01-12,33.5103
2019-01-13,34.54326
2019-01-14,39.00038
2019-01-15,38.79696
2019-01-16,38.13838
2019-01-17,38.81359
2019-01-18,35.53594
2019-01-19,34.21157
2019-01-20,34.91404
2019-01-21,39.43549
2019-01-22,39.04127
2019-01-23,37.2381
2019-01-24,37.44433
2019-01-25,33.30246
2019-01-26,33.64859
2019-01-27,36.78515
2019-01-28,39.20902
2019-01-29,36.25644
2019-01-30,34.17529
2019-01-31,32.6008
2019-02-01,28.84013
2019-02-02,28.02963
2019-02-03,26.42147
2019-02-04,29.78992
2019-02-05,33.28563
2019-02-06,40.07483
2019-02-07,45.5078
2019-02-08,41.27053
2019-02-09,40.4418
2019-02-10,41.07372
2019-02-11,47.74808
2019-02-12,43.99163
2019-02-13,40.05259
2019-02-14,38.20933
2019-02-15,36.59315
2019-02-16,34.9435
2019-02-17,37.9558
2019-02-18,43.06849
2019-02-19,39.74594
2019-02-20,38.55205
2019-02-21,37.61869
2019-02-22,35.88026
2019-02-23,34.00674
2019-02-24,36.25043
2019-02-25,39.49843
2019-02-26,39.09538
2019-02-27,36.1386
2019-02-28,32.97458
2019-03-01,34.53444
2019-03-02,34.79879
2019-03-03,35.03569
2019-03-04,37.41767
2019-03-05,35.98327
2019-03-06,34.90842
2019-03-07,36.25825
2019-03-08,33.10505
2019-03-09,32.37733
2019-03-10,33.14994
2019-03-11,36.07146
2019-03-12,36.58533
2019-03-13,34.01055
2019-03-14,34.9916
2019-03-15,32.72866
2019-03-16,30.90585
2019-03-17,32.77516
2019-03-18,35.73155
2019-03-19,38.13117
2019-03-20,34.95672
2019-03-21,34.98939
2019-03-22,31.57806
2019-03-23,30.61023
2019-03-24,31.6923
2019-03-25,36.19632
2019-03-26,34.86253
2019-03-27,34.15665
2019-03-28,33.5095
2019-03-29,30.29577
2019-03-30,29.69772
2019-03-31,32.78759
2019-04-01,36.83746
2019-04-02,35.39424
2019-04-03,33.86484
2019-04-04,33.52272
2019-04-05,29.58188
2019-04-06,30.46713
2019-04-07,31.87648
2019-04-08,36.30013
2019-04-09,33.82616
2019-04-10,31.7917
2019-04-11,31.29526
2019-04-12,29.6875
2019-04-13,28.1551
2019-04-14,31.05396
2019-04-15,34.91063
2019-04-16,33.57944
2019-04-17,32.62084
2019-04-18,31.76184
2019-04-19,28.5882
2019-04-20,28.4417
2019-04-21,29.33436
2019-04-22,35.36738
2019-04-23,33.08761
2019-04-24,31.08402
2019-04-25,29.92119
2019-04-26,27.69734
2019-04-27,26.45895
2019-04-28,28.03144
2019-04-29,34.50498
2019-04-30,31.37864
2019-05-01,30.62787
2019-05-02,30.62326
2019-05-03,27.67148
2019-05-04,25.94888
2019-05-05,27.61577
2019-05-06,33.19283
2019-05-07,37.36476
2019-05-08,32.14244
2019-05-09,32.60561
2019-05-10,29.85164
2019-05-11,28.24929
2019-05-12,29.91277
2019-05-13,35.19101
2019-05-14,34.13721
2019-05-15,32.1252
2019-05-16,32.29015
2019-05-17,30.0707
2019-05-18,29.81697
2019-05-19,30.41843
2019-05-20,36.59154
2019-05-21,34.54586
2019-05-22,33.81313
2019-05-23,32.50259
2019-05-24,29.96268
2019-05-25,28.68921
2019-05-26,29.57807
2019-05-27,35.23511
2019-05-28,33.95783
2019-05-29,33.23853
2019-05-30,31.52996
2019-05-31,28.51124
2019-06-01,27.9683
2019-06-02,27.80496
2019-06-03,33.7516
2019-06-04,32.82446
2019-06-05,29.31272
2019-06-06,30.0689
2019-06-07,31.94623
2019-06-08,29.04796
2019-06-09,29.41433
2019-06-10,34.8
2019-06-11,32.75131
2019-06-12,31.77166
2019-06-13,32.87096
2019-06-14,30.47355
2019-06-15,30.14085
2019-06-16,30.37574
